"Corner reflector ID","Latitude (deg)","Longitude (deg)","Height above ellipsoid (m)","Azimuth (deg)","Tilt / Elevation angle (deg)","Side length (m)"
00,34.79696903,-118.09653000,660.7877,170.00,12.20,2.4384
01,34.79977293,-118.08699515,660.9908,170.00,12.40,2.4384
02,34.80523729,-118.08738839,660.7979,169.50,9.20,2.4384
03,34.80534225,-118.08190983,660.9475,176.00,13.00,2.4384
04,34.80541523,-118.07637744,661.1567,176.00,12.03,2.4384
05,34.80549345,-118.07080255,661.2264,172.00,11.10,2.4384
06,34.80558451,-118.06522503,661.2535,172.00,10.80,2.4384
07,34.80566957,-118.05966600,661.3166,174.00,13.80,2.4384
08,34.80575138,-118.05407303,661.4304,172.50,10.80,2.4384
09,34.80581388,-118.04891471,661.4470,175.00,11.16,2.4384
10,34.80592520,-118.04336649,661.5158,174.00,8.96,2.4384
11,34.80602393,-118.03769254,661.5967,170.00,9.82,2.4384
12,34.80607370,-118.03230146,661.9148,171.00,9.20,2.4384
13,34.80519248,-118.08441899,660.9382,350.00,9.78,2.4384
14,34.80544030,-118.07891455,660.9487,350.00,9.05,2.4384
15,34.80551865,-118.07334181,661.2297,350.75,7.35,2.4384
16,34.80554839,-118.06786856,661.2855,350.83,6.90,2.4384
17,34.80555339,-118.06262813,661.3232,346.50,11.20,2.4384
18,34.80568744,-118.05642767,661.4445,350.00,9.13,2.4384
19,34.80572235,-118.05181569,661.4109,351.00,11.56,2.4384
20,34.80583779,-118.04635739,661.4476,350.00,10.61,2.4384
21,34.80590106,-118.04033340,661.4629,355.00,9.95,2.4384
22,34.80603143,-118.03506439,661.7136,354.00,10.59,2.4384
23,34.80250448,-118.08580456,661.2180,350.93,21.75,4.8000
24,34.80290919,-118.07664635,661.4400,350.77,22.15,4.8000
25,34.80315641,-118.06877969,661.5177,349.38,21.23,4.8000
26,34.80322834,-118.06058242,661.6381,350.70,22.00,4.8000
27,34.80351971,-118.05228021,661.6796,350.22,22.00,4.8000
31,34.80122304,-118.07909459,661.9566,351.00,16.70,0.7000
33,34.80291873,-118.06751476,661.9983,354.00,20.10,0.7000
34,34.80349590,-118.06339219,662.0656,354.00,22.10,0.7000
37,34.80577926,-118.04767371,662.2042,351.00,28.40,0.7000
41,34.80427819,-118.07340812,661.2523,350.00,15.20,2.8000
