"Corner reflector ID","Latitude (deg)","Longitude (deg)","Height above ellipsoid (m)","Azimuth (deg)","Tilt / Elevation angle (deg)","Side length (m)"
00,34.79696921,-118.09653034,660.7979,171.00,11.50,2.4384
02,34.80523748,-118.08738873,660.8081,170.50,8.50,2.4384
03,34.80533827,-118.08194433,661.0041,170.00,7.30,2.4384
04,34.80541541,-118.07637778,661.1669,176.00,12.20,2.4384
05,34.80549364,-118.07080289,661.2366,170.00,10.80,2.4384
06,34.80558469,-118.06522536,661.2637,172.00,10.50,2.4384
07,34.80566976,-118.05966633,661.3268,174.00,13.20,2.4384
08,34.80575156,-118.05407337,661.4406,172.50,10.10,2.4384
09,34.80581406,-118.04891505,661.4572,175.00,10.00,2.4384
10,34.80592539,-118.04336683,661.5260,174.00,9.60,2.4384
11,34.80602411,-118.03769288,661.6069,170.00,10.20,2.4384
12,34.80607389,-118.03230180,661.9250,171.00,8.50,2.4384
13,34.80519267,-118.08441933,660.9484,350.00,12.00,2.4384
14,34.80544049,-118.07891489,660.9589,350.00,10.00,2.4384
15,34.80551884,-118.07334214,661.2399,350.75,8.40,2.4384
16,34.80554858,-118.06786889,661.2957,349.00,7.60,2.4384
17,34.80555357,-118.06262846,661.3334,346.50,11.10,2.4384
18,34.80568762,-118.05642801,661.4547,348.00,8.50,2.4384
19,34.80572253,-118.05181603,661.4211,350.00,11.10,2.4384
20,34.80583797,-118.04635773,661.4578,349.00,11.40,2.4384
21,34.80590124,-118.04033374,661.4731,355.00,11.20,2.4384
22,34.80603161,-118.03506473,661.7238,354.00,11.30,2.4384
23,34.80250466,-118.08580489,661.2282,350.93,21.75,4.8000
24,34.80290938,-118.07664669,661.4502,350.77,22.15,4.8000
25,34.80315659,-118.06878002,661.5279,349.38,21.23,4.8000
26,34.80322852,-118.06058276,661.6483,350.70,22.00,4.8000
27,34.80351989,-118.05228054,661.6898,350.22,22.00,4.8000
28,34.79894059,-118.09480700,661.5708,351.00,11.50,0.7000
29,34.79972483,-118.08951339,661.6152,91.50,34.00,0.7000
30,34.80045791,-118.08431090,661.7149,91.00,33.80,0.7000
31,34.80122323,-118.07909493,661.9668,351.00,16.70,0.7000
32,34.80198188,-118.07379397,661.9111,90.50,33.20,0.7000
33,34.80291891,-118.06751510,662.0085,354.00,20.00,0.7000
34,34.80349609,-118.06339252,662.0758,354.00,21.90,0.7000
35,34.80426732,-118.05812512,662.1395,91.00,31.60,0.7000
36,34.80501194,-118.05289323,662.0656,92.00,31.50,0.7000
37,34.80577945,-118.04767405,662.2144,351.00,28.10,0.7000
